vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code_id,store_and_fwd_flag,pu_location_id,do_location_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,congestion_surcharge,total_amount,trip_duration_min,avg_speed_mph,fare_per_mile,tip_pct,is_cross_borough,pickup_hour,pickup_day_of_week,time_of_day
1,2019-01-02 12:03:19,2019-01-02 12:05:29,1,0.5,1,N,264,264,2,4.0,0.0,0.5,0.0,0.0,0.3,0.0,4.8,2.1666666666666665,13.846153846153847,8.0,,False,12,2,afternoon
1,2019-01-02 12:39:03,2019-01-02 12:51:18,1,1.4,1,N,90,161,2,9.5,0.0,0.5,0.0,0.0,0.3,0.0,10.3,12.25,6.857142857142857,6.7857142857142865,,False,12,2,afternoon
2,2019-01-02 12:45:36,2019-01-02 12:55:46,3,1.96,1,N,13,249,1,9.0,0.0,0.5,1.96,0.0,0.3,0.0,11.76,10.166666666666666,11.5672131147541,4.591836734693878,0.21777777777777776,False,12,2,afternoon
2,2019-01-02 12:54:25,2019-01-02 13:17:11,5,10.67,1,N,161,138,2,32.0,0.0,0.5,0.0,5.76,0.3,0.0,38.56,22.766666666666666,28.120058565153734,2.999062792877226,,True,12,2,afternoon
2,2019-01-02 13:16:19,2019-01-02 13:33:36,1,2.35,1,N,100,239,2,13.0,0.0,0.5,0.0,0.0,0.3,0.0,13.8,17.283333333333335,8.15814850530376,5.531914893617021,,False,13,2,afternoon
2,2019-01-02 14:34:01,2019-01-02 14:41:33,2,0.54,1,N,161,163,2,6.0,0.0,0.5,0.0,0.0,0.3,0.0,6.8,7.533333333333333,4.300884955752212,11.11111111111111,,False,14,2,afternoon
2,2019-01-02 14:41:55,2019-01-02 14:56:07,1,1.29,1,N,230,237,1,10.0,0.0,0.5,2.0,0.0,0.3,0.0,12.8,14.2,5.450704225352113,7.751937984496124,0.2,False,14,2,afternoon
2,2019-01-02 15:26:44,2019-01-02 15:55:43,1,6.5,1,N,230,88,2,23.5,0.0,0.5,0.0,0.0,0.3,0.0,24.3,28.983333333333334,13.456009200690051,3.6153846153846154,,False,15,2,afternoon
1,2019-01-02 16:09:19,2019-01-02 16:16:43,1,0.8,1,N,107,90,2,6.5,1.0,0.5,0.0,0.0,0.3,0.0,8.3,7.4,6.486486486486487,8.125,,False,16,2,afternoon
2,2019-01-02 16:10:12,2019-01-02 16:17:58,1,0.82,1,N,162,162,1,6.5,1.0,0.5,1.66,0.0,0.3,0.0,9.96,7.766666666666667,6.334763948497853,7.926829268292684,0.2553846153846154,False,16,2,afternoon
2,2019-01-02 16:53:17,2019-01-02 16:59:51,6,1.14,1,N,239,238,2,6.5,1.0,0.5,0.0,0.0,0.3,0.0,8.3,6.566666666666666,10.416243654822335,5.701754385964913,,False,16,2,afternoon
2,2019-01-02 18:20:57,2019-01-02 18:44:49,3,12.35,1,N,138,220,1,34.5,1.0,0.5,5.0,8.4,0.3,0.0,49.7,23.866666666666667,31.04748603351955,2.7935222672064777,0.14492753623188406,True,18,2,evening
2,2019-01-02 18:36:52,2019-01-02 18:45:55,1,1.04,1,N,161,164,2,7.5,1.0,0.5,0.0,0.0,0.3,0.0,9.3,9.05,6.8950276243093915,7.211538461538462,,False,18,2,evening
2,2019-01-02 18:37:09,2019-01-02 18:52:21,1,1.83,1,N,229,50,1,11.0,1.0,0.5,2.56,0.0,0.3,0.0,15.36,15.2,7.223684210526317,6.0109289617486334,0.23272727272727273,False,18,2,evening
1,2019-01-02 18:50:14,2019-01-02 18:53:31,2,0.6,1,N,186,90,1,4.5,1.0,0.5,1.25,0.0,0.3,0.0,7.55,3.283333333333333,10.964467005076141,7.5,0.2777777777777778,False,18,2,evening
